name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share80_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,80,2000,10,8,valid,11840.368453,1.351309,15.040305826,23751203128,21714533758,12240248811,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=80 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share80_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share90_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,90,2000,10,8,valid,10190.512974,1.570088,17.425791830,20181761534,18629147727,13295214000,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=90 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share90_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,100,2000,10,8,valid,9241.826474,1.731260,19.180240896,12751339159,14842690695,13586448713,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share100_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,0,2000,10,8,valid,12545.063309,1.275402,14.073475357,24911293204,38516169729,1984238199,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share0_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share10_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,10,2000,10,8,valid,11771.526502,1.359212,14.977900719,26262185333,41623916432,3316871273,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=10 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share10_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share20_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,20,2000,10,8,valid,12966.798695,1.233921,13.639662402,27199596032,37672827124,4692045966,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=20 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share20_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share30_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,30,2000,10,8,valid,14121.972686,1.132986,12.510428791,23610109924,34179735042,6049139289,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=30 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share30_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share40_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,40,2000,10,8,valid,15383.449691,1.040079,11.502864403,24328957246,34449752445,7400005099,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=40 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share40_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share50_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,50,2000,10,8,valid,18443.155329,0.867531,9.785153841,20483282786,27057349431,8113852837,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=50 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share50_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share60_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,60,2000,10,8,valid,15551.074791,1.028868,11.514968913,21693214181,26792813490,9740133971,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=60 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share60_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share70_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,70,2000,10,8,valid,13462.624866,1.188476,13.285897014,22713799099,29851462722,10954417989,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=70 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share70_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share80_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,80,2000,10,8,valid,11849.610971,1.350255,15.018548974,18879406974,21242830110,12172776991,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=80 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share80_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share90_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,90,2000,10,8,valid,10171.680132,1.572995,17.513870348,20172000295,22834955381,13562719455,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=90 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share90_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,100,2000,10,8,valid,9235.740733,1.732400,19.242672367,12719506547,14827685340,13586033987,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share100_n2000.txt
gemm_hetero_rvv_ime_1_gcc_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,gcc,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,0,2000,10,8,valid,8644.928509,1.850796,20.398904496,184318729575,65423789331,1986681757,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/gcc/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_gcc_fp16_x8_a8_share0_n2000.txt
